id,severity,surface,finding,evidence,root_cause,fix_direction,acceptance_gate
VF-P31-001,S1,Source tree,Duplicate divergent backend roots `src-tauri/` and `s/`,Two Cargo.toml roots and 75 files each in package,Stale copy/rename retained,"Make `src-tauri/` canonical, salvage by diff, delete/quarantine `s/`, add guard",`test ! -d s`; only one Cargo.toml under backend; validation script passes
VF-P31-002,S1,Build/release,Rust/Tauri build unproven,Package says dry-run available-not-run; cargo absent in sandbox,Packaging validation mistaken for build receipt,Run cargo fmt/check/test/clippy and tauri build in real environment,All commands pass or exact blocker receipt exists
VF-P31-003,S1,Prompt workflow,Auto-approve is partial/false,PromptStudio toggles local flag; queue executor hard-codes auto_approved false,Metadata path not propagated,Auto-queue on pipeline completion and persist selected concept/auto-approved,Auto approve on => queue jobs created and gallery row auto_approved=true
VF-P31-004,S1,Frontend state,Settings are not global source of truth,useConfig owns local state per call; visited pages remain mounted,No ConfigProvider/store/invalidation,Create ConfigProvider and use shared config,Changing settings affects PromptStudio without reload
VF-P31-005,S1,Concurrency,Lock-order inversions can deadlock,state.rs says config before db; code has db then config,No guardrail/static assertion,Refactor lock scopes and add assertion,No db->config pattern; concurrency tests pass
VF-P31-006,S2,External APIs,Ollama unload ignores errors,unload_model discards send result,Best-effort call hides VRAM failure,Check status/body and surface warning/degradation,Mock 500 returns visible warning/error
VF-P31-007,S2,External APIs,ComfyUI control/status calls ignore HTTP failures,"/free, /interrupt, /queue, /history status handling incomplete",Convenience client lacks ensure-success helper,Add shared status checker preserving body text,Mock non-2xx endpoints produce explicit errors
VF-P31-008,S2,Persistence,Image file/DB writes are not transactional enough,File saved before DB insert; delete is best-effort,No staging/rollback protocol,"Use staging temp file, DB transaction, cleanup on failure",Injected DB failure leaves no orphan files
VF-P31-009,S2,Export safety,ZIP export trusts DB filename,zip.start_file(image.filename) without validate_filename,DB values assumed safe,Validate/sanitize before export; quarantine invalid rows,../evil.png row fails safely
VF-P31-010,S2,UX semantics,Judge concept selection is false affordance,UI says selected concept used for prompt engineering; generation ignores it,Selection state not threaded into prompt/queue,Make concept selection affect prompt or change copy,Selecting concept changes prompt/result or text is corrected
VF-P31-011,S2,Thinking models,Custom thinking models detected in UI but not honored in Ollama body,UI stores customThinkingModels; backend uses static is_known_thinking_model,Capability not passed to request construction,Thread thinking-capability policy into Ollama request path,Custom model request includes think when configured
VF-P31-012,S2,Dependency security,npm audit reports vite/rollup/picomatch/postcss vulnerabilities,npm audit metadata: 4 total,Lockfile stale,npm audit fix or safe pin upgrade; rerun build/audit,npm audit --audit-level=moderate passes or accepted dev-only risk record
VF-P31-013,S3,Docs/public claims,README/spec drift,README says React 18 and 129 Rust tests; package uses React 19; Rust tests unproven,Docs not synced to source/receipts,Create proof-gated README and VISIONFORGE_PROOF_PACKET,README claims map to receipts
VF-P31-014,S3,Maintainability,Oversized files exceed local 400-line rule,Several TS/Rust files >400 lines,Feature accretion,Refactor only after correctness gates; do not block release if risky,Large-file report exists; high-risk files split only if tests remain green
VF-P31-015,S3,Startup UX,Backend startup uses production expect/panic paths,lib.rs expect on config/db/dirs/run,Prototype startup handling,Convert recoverable startup failures into visible error/report where practical,Startup failure test/manual check shows actionable message
